Year/Month,CCPI,HIBOR,Unemployment,M_Income_Median,Transaction_Volume,CCL
1/1/1997,80,0.052,0.025,26000,17813,81.785
1/2/1997,80.8,0.054,0.024,26000,15366,85.1725
1/3/1997,80.9,0.055,0.025,26000,12310,94.014
1/4/1997,81.7,0.057,0.026,23000,22960,90.09
1/5/1997,82,0.06,0.025,23000,16755,94.645
1/6/1997,82.3,0.063,0.024,23000,15076,100.85
1/7/1997,82.9,0.063,0.024,24900,20381,97.92
1/8/1997,83,0.072,0.024,24900,12698,97.574
1/9/1997,83.3,0.075,0.022,24900,11611,97.4625
1/10/1997,84,0.102,0.023,25000,12018,100.975
1/11/1997,84.1,0.097,0.024,25000,11288,89.84
1/12/1997,84.3,0.073,0.025,25000,4435,85.4875
1/1/1998,84.3,0.107,0.025,27100,6247,74.7225
1/2/1998,84.6,0.066,0.029,27100,4122,72.1675
1/3/1998,84.8,0.056,0.035,27100,8604,73.536
1/4/1998,85.6,0.055,0.039,24000,5692,70.49
1/5/1998,85.7,0.069,0.041,24000,7809,64.938
1/6/1998,85.6,0.094,0.044,24000,8105,55.8175
1/7/1998,85.6,0.078,0.048,24900,5496,54.4325
1/8/1998,85.3,0.12,0.05,24900,6432,52.384
1/9/1998,85.4,0.083,0.05,24900,4455,48.5375
1/10/1998,84,0.057,0.052,24000,6702,47.6625
1/11/1998,83.5,0.054,0.055,24000,11760,53.076
1/12/1998,82.9,0.053,0.057,24000,10192,55.3175
1/1/1999,83.4,0.054,0.058,25800,7705,55.732
1/2/1999,83.1,0.056,0.06,25800,5759,55.6325
1/3/1999,82.6,0.052,0.062,25800,7031,55.12
1/4/1999,82.3,0.049,0.063,25000,8463,56.2325
1/5/1999,82.3,0.049,0.063,25000,9765,56.31
1/6/1999,82,0.054,0.061,25000,6616,56.3725
1/7/1999,80.8,0.059,0.06,24000,6570,55.6025
1/8/1999,80.1,0.062,0.061,24000,5553,54.732
1/9/1999,80.3,0.058,0.061,24000,4445,52.16
1/10/1999,80.5,0.056,0.062,24000,4880,51.956
1/11/1999,79.9,0.055,0.061,24000,4710,51.49
1/12/1999,79.5,0.06,0.06,24000,5590,53.22
1/1/2000,79,0.051,0.057,27000,5418,53.974
1/2/2000,79,0.058,0.057,27000,4703,53.4975
1/3/2000,78.7,0.058,0.056,27000,5174,54.07
1/4/2000,78.7,0.063,0.053,25000,6481,52.226
1/5/2000,78.6,0.067,0.051,25000,4815,49.9325
1/6/2000,78.3,0.063,0.051,25000,3906,47.0125
1/7/2000,78.2,0.06,0.05,25000,5913,47.708
1/8/2000,78,0.058,0.05,25000,7348,48.565
1/9/2000,78,0.062,0.049,25000,6087,48.525
1/10/2000,78,0.058,0.047,25000,6239,48.25
1/11/2000,78.1,0.055,0.045,25000,5197,47.1775
1/12/2000,77.9,0.061,0.044,25000,4059,45.038
1/1/2001,77.8,0.055,0.044,28000,3860,44.175
1/2/2001,77.1,0.051,0.045,28000,4014,44.7775
1/3/2001,77.2,0.049,0.046,28000,7231,45.775
1/4/2001,77.6,0.046,0.046,25500,5000,44.816
1/5/2001,77.4,0.038,0.046,25500,6309,44.3725
1/6/2001,77.4,0.037,0.045,25500,6316,43.815
1/7/2001,77.5,0.036,0.046,25000,6199,43.364
1/8/2001,77.1,0.034,0.049,25000,6503,42.6375
1/9/2001,77.1,0.029,0.052,25000,5462,41.436
1/10/2001,77.1,0.021,0.055,25000,4269,40.0125
1/11/2001,77,0.018,0.059,25000,7879,40.4025
1/12/2001,75.1,0.018,0.062,25000,6625,40.354
1/1/2002,75.1,0.017,0.067,26400,7847,40.3075
1/2/2002,75.3,0.018,0.068,26400,5695,40.6975
1/3/2002,75.5,0.02,0.07,26400,5450,41.094
1/4/2002,75.2,0.018,0.071,25000,7409,40.6125
1/5/2002,75,0.017,0.074,25000,7325,39.9825
1/6/2002,74.9,0.017,0.077,25000,7195,39.67
1/7/2002,74.8,0.017,0.078,25000,4961,39.25
1/8/2002,74.6,0.016,0.076,25000,4881,38.27
1/9/2002,74.3,0.018,0.074,25000,6278,37.486
1/10/2002,74.3,0.02,0.072,25000,5863,36.745
1/11/2002,74.2,0.015,0.071,25000,4941,36.04
1/12/2002,74,0.015,0.072,25000,5129,35.99
1/1/2003,73.9,0.013,0.072,26000,6187,35.8075
1/2/2003,73.8,0.013,0.074,26000,3649,35.4
1/3/2003,73.9,0.013,0.075,26000,4550,34.516
1/4/2003,73.9,0.014,0.078,24000,5373,33.3675
