DATE,RVD_ABC,RVD_DE,CCL,CCL_SM,CCL_L,CCL_HK,CCL_KLN,CCL_NTE,CCL_NTW,CCL_MAS,CSI,CVI,RVD_R,RVD_R,LR_TTV,LR_C ,BSD_CA,BSD_TC,SSD_CA,SSD_TC,DSD_CA,DSD_TC,BIRTH,DEATH,MARR,UNEMP,UND_EMP,CCPI,UN_INF,GDP,HSI,MI,RIR,BLR,HIBOR,MA_LTV,MA_1LA,MA_2LA,MA_1CA,MA_2CA,COMP,St_CH,VAC_R,PHS
1/1/1996,105.4,100.8,57.14,58,49.85,58.58,60.33,59.99,52.77,58.13,,,115.2,,7754,19123000000,,,,,,,6626,2898,3574,0.032,0.024,75.3,,279132,11359.7002,24000,,0.0875,0.0562,,,,,,1656,0.0289,0.037,468
1/2/1996,108.7,105.9,59.55,60.35,52.95,60.92,63.3,61.5,55.14,60.59,,,116.6,,7802,19250000000,,,,,,,5451,2650,2446,0.031,0.022,76,,279132,11125.7002,24000,,0.085,0.0512,,,,,,1656,0.0289,0.037,468
1/3/1996,113.1,108.2,61.08,61.8,55.2,62.77,64.51,62.85,56.54,62.18,,,115.9,,10452,30271000000,,,,,,,5361,3232,3142,0.032,0.02,76.4,,279132,10957.2002,24000,,0.085,0.0513,,,,,,1656,0.0289,0.037,468
1/4/1996,112.1,110.6,63.42,64.57,56.88,66.69,66.67,65.28,58.5,64.42,,,116.3,,8200,23756000000,,,,,,,4659,2951,2381,0.033,0.018,77.4,,298035,10964.5,21500,,0.085,0.0512,,,,,,1656,0.0289,0.037,468
1/5/1996,113.5,113,64.36,65.31,56.89,66.52,68.85,64.34,59.75,65.64,,,117.2,,14732,39088000000,,,,,,,5022,3261,3094,0.032,0.019,77.5,,298035,11264.7002,21500,,0.085,0.0516,,,,,,1656,0.0289,0.037,468
1/6/1996,115,115.2,65.41,66.06,59.28,67.53,69.54,65.06,60.42,66.54,,,117.2,,9495,29605000000,,,,,,,4464,2211,2825,0.031,0.018,77.9,,298035,11020.90039,21500,,0.085,0.0536,,,,,,1656,0.0289,0.037,468
1/7/1996,114.6,115.2,65.16,65.7,60.46,66.38,68.46,67.43,61.03,65.95,,,119,,11061,35075000000,,,,,,,5262,2660,2446,0.029,0.016,78,,319919,10681.40039,22500,,0.085,0.0545,,,,,,1656,0.0289,0.037,468
1/8/1996,117.6,114.3,65.35,65.78,61.56,67.94,67.74,65.69,61.01,66.28,,,118.3,,8667,24242000000,,,,,,,5037,2302,2393,0.028,0.014,78.1,,319919,11159,22500,,0.085,0.0544,,,,,,1656,0.0289,0.037,468
1/9/1996,118.2,118.2,66.69,67.32,61.1,67.54,70.4,67.78,62.27,67.43,,,120.4,,9228,23994000000,,,,,,,5279,2243,3146,0.026,0.014,78.9,,319919,11902.40039,22500,,0.085,0.0546,,,,,,1656,0.0289,0.037,468
1/10/1996,123,125.3,69.17,69.67,64.69,70.89,72.46,71.36,63.59,69.77,,,120.5,,12595,37654000000,,,,,,,5924,2512,3138,0.025,0.015,79.5,,338215,12477.59961,24000,,0.085,0.0544,,,,,,1656,0.0289,0.037,468
1/11/1996,127.8,131.5,72.66,73.07,69.91,75.59,75.74,74.4,65.96,73.24,,,120.6,,14427,47442000000,,,,,,,5590,2438,4104,0.027,0.015,79.8,,338215,13393.90039,24000,,0.085,0.0563,,,,,,1656,0.0289,0.037,468
1/12/1996,134.2,139.5,76.94,77.31,74.37,79.41,78.76,79.25,70.88,77.01,,,122.5,,15071,52214000000,,,,,,,5924,2691,4356,0.026,0.016,80.1,,338215,13451.5,24000,,0.085,0.0548,,16624000000,3609000000,9776,2701,1656,0.0289,0.037,468
